Reference, Quantity, Value, Footprint, Datasheet
BZ1 ,1,"TP094003-1","Buzzer_Beeper:Buzzer_Murata_PKMCS0909E4000-R1","~"
C1 C2 ,2,"4.7uf","Capacitor_SMD:C_0402_1005Metric","~"
C6 ,1,".1uf","Capacitor_SMD:C_0402_1005Metric","~"
C7 C8 ,2,"12.5pf","Capacitor_SMD:C_0402_1005Metric","~"
D1 D3 D5 D7 ,4,"CLM2D-RCC-CZ0B0BB3 (Red)","BudLib:LED_Cree-PLCC4_3.2x2.8mm_CCW","~"
D10 ,1,"LED_ALT","LED_SMD:LED_0402_1005Metric","~"
D2 D4 D6 D8 ,4,"CLM2D-CCC-CZ0C03123 (blue)","BudLib:LED_Cree-PLCC4_3.2x2.8mm_CCW","~"
D9 ,1,"D_TVS_DF5A6.8LJE","Package_TO_SOT_SMD:SOT-553","~"
J1 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~"
Q1 ,1,"UM6K33NTN","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
R13 ,1,"0 DNI","Resistor_SMD:R_0402_1005Metric","~"
R11 R12 R14 ,3,"1k","Resistor_SMD:R_0402_1005Metric","~"
R1 R15 R16 R2 ,4,"10k","Resistor_SMD:R_0402_1005Metric","~"
R3 R5 R7 R9 ,4,"120","Resistor_SMD:R_0805_2012Metric","~"
R10 R4 R6 R8 ,4,"56","Resistor_SMD:R_0805_2012Metric","~"
TP1 ,1,"TestPoint_2Pole","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
U1 ,1,"LIS3DH","BudLib:LGA-16_3x3mm_Pitch0.5mm",""
U2 ,1,"BT840","BudLib:BT840-BT840",""
U3 ,1,"MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
Y1 ,1,"32.768khz","BudLib:Crystal_SMD_SeikoEpson_MC146-4Pin_6.7x1.5mm","~"
